Question,Category,Difficulty Fariha,Difficulty Arean,A,B,C,D,Answer
দ্রব্যসামগ্রীর দাম বাজার প্রক্রিয়ার মাধ্যমে স্বয়ংক্রিয়ভাবে নির্ধারিত হয় কোন অর্থব্যবস্থায়?,Economics,3,3,নির্দেশক,ইসলামী,ধনতান্ত্রিক,সমাজতান্ত্রিক,C
বাণিজ্যিক ব্যাংকের কাজ হলো- i. নোট প্রচলন করা; ii ঋণ প্রদান iii. সঞ্চয় জমা রাখা নিচের কোনটি সঠিক?,Economics,3,3,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",C
প্রশিকার ঋণ আদায়ের হার কত?,Economics,3,3,99.60%,99.99%,99.70%,99.50%,D
বৃহৎ আকারের উৎপাদনের জন্য কোন উপকরণটি সবচেয়ে গুরুত্বপূর্ণ?,Economics,3,3,ভূমি,শ্রম,মূলধন,সংগঠন,C
বাংলাদেশের মূলধন গঠনে বৃহৎ অংশ আসে কোন উৎস থেকে?,Economics,3,3,অতিরিক্ত কর আরোপ,বেসরকারি সঞ্চয়,ঘাটতি ব্যয়,বৈদেশিক সাহায্য,D
২০১১-১২ অর্থবছরে জনস্বাস্থ্য খাতে বাংলাদেশ সরকারের ব্যয় কত কোটি টাকা?,Economics,3,3,"৭,১০২","৮,১৬৯","৮,৮৬৮","৯,৮৬২",B
২০১১-১২ অর্থবছরে প্রতিরক্ষা খাতে সরকারি ব্যয়ের পরিমাণ কত?,Economics,3,3,"১০,২৩৭ কোটি টাকা","১১,৭৫৯ কোটি টাকা","১২,৩৫৩ কোটি টাকা","১২,২৪০ কোটি টাকা",D
“সূচক সংখ্যা হলো একটি বিশেষ বৈশিষ্ট্যপূর্ণ গড়।”- উক্তিটি কার?,Economics,3,3,ব্লেয়ার,ক্রাউথার,পিগু,কেইন্স,A
মূলধনের গঠন নির্ভর করে— i. সঞ্চয়ের সামর্থ্য ii. সঞ্চয়ের ইচ্ছা iii. ভোগ বৃদ্ধি নিচের কোনটি সঠিক?,Economics,3,3,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",A
বাংলাদেশে কার্যরত কোন ব্যাংকে কৃষিঋণ কার্যক্রম অন্তর্ভুক্ত করার জন্য ঋণ নীতিমালা ও কর্মসূচি প্রণয়ন করা হয়েছে?,Economics,3,3,ইসলামি ব্যাংক,গ্রামীণ ব্যাংক,সকল তফসিলি ব্যাংক,কৃষি ব্যাংক,C
মোট দেশজ উৎপাদন + বিদেশে অবস্থানরত দেশি জনগণের আয় – দেশে অবস্থানরত বিদেশিদের আয় =?,Economics,3,3,মোট জাতীয় উৎপাদন;,মোট জাতীয় আয়,মোট দেশজ উৎপাদন;,মোট আয়,A
জনসংখ্যা ও খাজনার মধ্যে সম্পর্ক কীরূপ?,Economics,3,3,ত্রিমুখী,কোনোটিই নয়,দ্বিমুখী,সমমুখী,D
বাজার যোগান রেখার আকৃতি কেমন?,Economics,3,3,ডানদিকে উর্ধ্বগামী,বামদিকে উর্ধ্বগামী,ডানদিকে নিম্নগামী,বামদিকে নিম্নগামী,A
সূচকের সাহায্যে মুদ্রাস্ফীতি পরিমাপের পদ্ধতিগুলো হলো- i. ভোক্তার মূল্যসূচক ii. উৎপাদকের মূল্যসূচক iii. অব্যক্ত অবমূল্যায়ন সূচক নিচের কোনটি সঠিক?,Economics,3,3,i ও  ii,i ও  iii,ii ও  iii,"i, ii ও  iii",D
মুদ্রাস্ফীতির অন্যতম বৈশিষ্ট্য হলো- i. দামস্তর বৃদ্ধি পাবে ii. অর্থের ক্রয়ক্ষমতা কমতে থাকে iii. অধিক অর্থের দ্বারা স্বল্প দ্রব্য ও সেবা নিচের কোনটি সঠিক? ,Economics,4,4,i ও  ii,ii ও  iii,i ও  iii,"i, ii ও  iii",D
জনসংখ্যা বৃদ্ধির ফলে- i. মাথাপিছু আয় বৃদ্ধি পায় ii. দারিদ্রতা বৃদ্ধি পায়  iii. অপুষ্টি ও স্বাস্থ্যহীনতা বৃদ্ধি পায়  নিচের কোনটি সঠিক? ,Economics,4,4,i ও  ii,ii ও  iii,i ও  iii,"i, ii ও  iii",B
কেন্দ্রীয় ব্যাংকের কার্যবলি কোনটি?,Economics,4,4,ঋণ দান,আমানত গ্রহণ,বিল বাট্টাকরণ,নোট প্রচলন,D
বাণিজ্যিক ব্যাংক ক্রেতা-বিক্রেতাদের দেনা-পাওনা নিষ্পত্তিতে সাহায্য করে-; i. অভ্যন্তরীণ বাণিজ্যের ক্ষেত্রে ii. বৈদেশিক বাণিজ্যের ক্ষেত্রে iii. কেন্দ্রীয় ব্যাংককে ঋণ দানের ক্ষেত্রে নিচের কোনটি সঠিক?,Economics,4,4,ii ও iii,i ও ii,i ও iii,"i, ii ও iii",B
বিনিয়োগ বৃদ্ধির ফলে i. উৎপাদন বৃদ্ধি পায়  ii. বেকারত্ব কমে আসে iii. অর্থনৈতিক উন্নয়ন হয়  নিচের কোনটি সঠিক?,Economics,4,4,i ও  ii,i ও  iii,ii ও  iii,"i, ii ও  iii",D
আবগারি শুল্ক ধার্য করা হয়- i. সিগারেট ii. কেরোসিন iii. তামাক,Economics,4,4,i ও ii,ii ও iii,i ও iii,"i, ii ও iii",D
৫০ পয়সার মুদ্রা কে বলে- i. অসীম বিহিত মুদ্রা ii. সসীম বিহিত মুদ্রা iii. মুদ্রা,Economics,4,4,i,ii,iii,i ও iii,B
সুষম বাজেট প্রণয়নের সুবিধা হল- i. অর্থনৈতিক স্থিতিশীলতা বজায় থাকে ii. বেকারত্ব দূর করা সহজতর হয় iii. মুদ্রাস্ফীতির সম্ভাবনা কম থাকে,Economics,4,4,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",B
জাতীয় উৎপাদন পরিমাপ করা যায়- i.;উৎপাদিত দ্রব্যসামগ্রী ও সেবা হিসেবে ii.;উৎপাদনের উপকরণের অর্জিত আয় হিসেবে iii.;সমাজের মোট ব্যয় হিসেবে নিচের কোনটি সঠিক?,Economics,4,4,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",D
উন্নত দেশ হলো- i. সুইডেন; ii. যুক্তরাজ্য iii. নরওয়ে নিচের কোনটি সঠিক?,Economics,4,4,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",D
মূলধন বাজেটের মূল্য লক্ষ হলো- i. অর্থনৈতিক উন্নয়ন সাধন করা ii. সামাজিক উন্নয়ন সাধন করা iii. রাজনৈতিক উন্নয়ন সাধন করা,Economics,4,4,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",A
মিশ্র অর্থনীতির বৈশিষ্ট্য- i. সম্পদের ব্যাক্তিগত ও সরকারি মালিকানা ii. মুনাফা অর্জন iii. ভোক্তার স্বাধীনতা নিচের কোনটি সঠিক?,Economics,4,4,"i, ii ও  iii",ii ও  iii,i ও  iii,i ও  ii,A
"মুনাফা সর্বোচ্চকরণের আধুনিক পদ্ধতিতে শর্ত হলো— i. MR = MC ii. TR > TC iii. MR = MC, MR রেখার ঢাল < MC রেখার ঢাল নিচের কোনটি সঠিক?",Economics,4,4,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",B
দেশের অবকাঠামোগত উন্নয়নের শ্রেণিভুক্ত - i. মুদ্রাস্ফীতি রোধ ii. বিমান যোগাযোগ স্থাপন iii. সেতু বিনির্মাণ নিচের কোনটি সঠিক?,Economics,4,4,i ও ii,ii ও iii,i ও iii,"i, ii ও iii",B
একটি আধুনিক ও অবাধ অর্থনীতিতে মূলধন গঠনের স্তরগুলো হলো- i. আর্থিক সঞ্চয়ের সৃষ্টি ii. আর্থিক সঞ্চয় সংগ্রহ ও ঋণদান iii. আর্থিয়ক সঞ্চয়কে মূলধন দ্রব্যে রূপান্তর নিচের কোনটি সঠিক?,Economics,4,4,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",D
বাংলাদেশ সরকার বিভিন্ন উৎস থেকে রাজস্ব সংগ্রহ করে যেসব কারণে-; i. জনকল্যাণ সাধনের জন্য ii. প্রশাসন পরিচালনার জন্য iii. আর্থসামাজিক উন্নয়নের জন্য নিচের কোনটি সঠিক?,Economics,4,4,i ও ii,ii ও iii,i ও iii,"i, ii ও iii",D
মূলধন বাজেটের ফলে- i. দেশের অর্থনৈতিক উন্নয়ন সাধিত হয় ii. দেশের অর্থনৈতিক প্রবৃদ্ধি অর্জিত হয় iii. প্রশাসন সুষ্ঠুভাবে পরিচালিত হয়,Economics,4,4,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",A
অর্থনীতির অবস্থা নির্দেশ করে- i. মোট অভ্যন্তরীণ আয় ii. মোট দেশজ উৎপাদন iii. জনগণের মাথাপিছু আয় নিচের কোনটি সঠিক?,Economics,4,4,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",D
"উন্নয়নশীল দেশে ঘাটতি বাজেট মঙ্গলজনক, কারণ- i. প্রাকৃতিক সম্পদের পরিপূর্ণ ব্যবহার করা যায় ii. মাথাপিছু আয় বৃদ্ধি পায় iii. কর্মসংস্থান বৃদ্ধি পায়",Economics,4,4,i ও ii,ii ও iii,i ও iii,"i, ii ও iii",D
ভৌগোলিক অবস্থানগত কারণে গড়ে উঠেছে- i. রেশম শিল্প ii. চা শিল্প iii. কুটির শিল্প নিচের কোনটি সঠিক?,Economics,4,4,i ও ii,ii ও iii,i ও iii,"i, ii ও iii",D
ভূমি রাজস্ব বলতে কোনটিকে বোঝায়?,Economics,1,1,ফসল উৎপাদনের জন্য প্রদত্ত খাজনাকে,ভূমির উন্নয়নের জন্য প্রদত্ত অর্থকে,ভূমি ভোগ দখলের জন্য প্রদত্ত অর্থকে,সরকারি ভূমিকে দখলের জন্য প্রদত্ত অর্থকে,C
কোন ধরনের আমানতের উপর ব্যাংক কোন সুদ দেয় না?,Economics,2,1,স্থায়ী,অস্থায়ী,চলতি,সঞ্চয়ী,D
ক্ষুদ্র শিল্পের আওতাভুক্ত হলো- i. তাঁত শিল্প  ii. বেকারি কারখানা  iii. ডেইরি ফার্ম নিচের কোনটি সঠিক?,Economics,3,4,ii ও iii,i ও ii,i ও iii,"i, ii ও iii",D
বাণিজ্যিক ব্যাংকের কাজ হলো- i. নোট প্রচলন করা; ii ঋণ প্রদান iii. সঞ্চয় জমা রাখা নিচের কোনটি সঠিক?,Economics,3,3,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",C
উৎপাদিত দ্রব্যের অবশ্যই কি থাকতে হবে?,Economics,2,1,বিনিময় মূল্য,আকার,উচ্চ মূল্য,কোনটিই নয়,A
কোনটি মূলধনী দ্রব্য?,Economics,1,1,গুদাম ঘর,খাদ্য,বস্ত্র,চেয়ার,A
সম্পদকে কত শ্রেণিতে বিন্যস্ত করা যায়?,Economics,1,2,5,6,3,4,A
একটি পণ্যকে ঘিরে ক্রেতা-বিক্রেতার মধ্যে কী ঘটে?,Economics,2,2,সংযোগ,বিয়োজন,আলোচনা,বিস্তৃতি,A
২০১০ সালে বাংলাদেশ সরকার জাতীয় শিল্পনীতি ঘোষণা করেছে ফলে- i. বেসরকারি বিনিয়োগ বৃদ্ধি পায় ii. নারীর কর্মসংস্থান বৃদ্ধি পায় iii. আমদানি ব্যয় কমে যাচ্ছে নিচের কোনটি সঠিক?,Economics,4,4,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",A
আমাদের দেশে কোন ব্যবস্থাটি এখনো সম্পূর্ণ আধুনিক হয়ে ওঠেনি?,Economics,2,1,পর্যটন খাত;,কৃষিখাত,শিল্পখাত;,যোগাযোগ খাত,B
বাংলাদেশের বীরত্বসূচক উপাধিগুলোর মধ্যে কোনটির স্থান মর্যাদার দিক থেকে দ্বিতীয়?,Law,1,1,বীর বিক্রম,বীর শ্রেষ্ঠ,বীর উত্তম,বীর প্রতীক,C
যেসব মুদ্রা কাগজ দ্বারা তৈরি তাকে কী বলে?,Law,1,1,কাগজি মুদ্রা,প্রামাণিক মুদ্রা,প্রতীক মুদ্রা,বিহিত মুদ্র,A
আইনের দৃষ্টিতে সকলেই সমান। কথাটি দ্বারা কী প্রমাণ করে?,Law,1,1,সমাজতন্ত্র,গণতন্ত্র,প্রজাতন্ত্র,রাজতন্ত্র,B
কোনটি একটি সভ্য সমাজের মানদণ্ড?,Law,1,1,আইনের শাসন,নাগরিকের অধিকার প্রদান,সামাজিক সাম্য,স্থিতিশীল রাষ্ট্র,A
বাংলাদেশ সরকার জাতীয় সংসদ নির্বাচনের জন্য কী গঠন করেছে?,Law,1,1,বিচার বিভাগ,আইন বিভাগ,নির্বাচন কমিশন,শাসন বিভাগ,C
সুপ্রীম কোর্টের এ ধরনের ভূমিকায় কী প্রতিষ্ঠা পেয়েছে?,Law,1,1,সামাজিক অধিকার,মৌলিক অধিকার,রাজনৈতিক অধিকার,মানবাধিকার,B
আইনের শাসন নিশ্চিত করার অন্যতম উপায় হল-,Law,1,1,শাসন বিভাগ ও বিচার বিভাগের মধ্যে সংযুক্তি,আইন ও শাসন বিভাগের মধ্যে সংযুক্তি,শাসন বিভাগ হতে বিচার বিভাগ পৃথকীকরণ,আইন ও শাসন বিভাগের পৃথিবী কারণ,C
দুর্নীতি দমনের পূর্বশর্ত হলো-,Law,1,1,রাজনৈতিক অঙ্গীকার,নৈতিকতার অভাব,আইনের শাসন,গণ গ্রেফতার,C
মৌলিক অধিকার পরিপন্থী যে কোন পদক্ষেপ কে বাতিল ঘোষণা করতে পারবে কোন বিভাগ?,Law,1,1,জর্জকোর্ট,আপিল বিভাগ,হাইকোর্ট,দায়রা জজ আদালত,C
কুসংস্কার থেকে মুক্তির উপায় কোনটি?,Law,1,1,প্রযুক্তি;,শিক্ষা;,খেলাধুলা;,ভ্রমণ;,B
একটি রাষ্ট্রের সর্বোচ্চ আইন কোনটি?,Law,1,1,আদালত,সংবিধান,জাতীয় সংসদ,সুপ্রিমকোর্ট,B
আধুনিককালে আইনের প্রধান উৎস কোনটি?,Law,1,1,প্রথা,বিচারকের রায়,ন্যায়বোধ,আইন পরিষদ,D
পরিকল্পনা ও প্রকল্প প্রয়োজন হয় কোন ক্ষেত্রে?,Law,1,1,নীতিমালা প্রণয়ন;,অবকাঠামো নির্মাণ,নীতিমালা বাস্তবায়ন,বৈদেশিক সাহায্য,C
আইন বিভাগের মূল কাজ কী?,Law,1,1,আইন প্রণয়ন,আইন প্রয়োগ,আইনের আলোকে বিচার করা,বিদেশের সাথে সম্পর্ক রক্ষা,A
বাংলাদেশের সর্বোচ্চ কোর্টের নাম কী?,Law,1,1,হাইকোর্ট,জজ কোর্ট,সুপ্রিম কোর্ট,ম্যাজিস্ট্রেট কোর্ট,C
সংবিধানের অভিভাবক কে?,Law,1,1,শাসন বিভাগ,আইন বিভাগ,বিচার বিভাগ,সামরিক বাহিনী,C
আইনগত অধিকার কয় ধরনের?,Law,1,1,সাত,ছয়,পাঁচ,চার,B
রাষ্ট্রীয় সংবিধানের অভিভাবক হিসেবে কাজ করে কোন বিভাগ?,Law,1,1,আইন বিভাগ,নির্বাহী বিভাগ,শাসন বিভাগ,বিচার বিভাগ,D
কোনটি আইন বিভাগের কাজ?,Law,2,2,আইন প্রণয়ন,ন্যায়বিচার প্রতিষ্ঠা,আইন ভঙ্গকারীকে শাস্তি প্রদান,প্রশাসনিক কাজ পরিচালনা,A
১৮৯২ সালের ভারতীয় কাউন্সিল আইনানুযায়ী কেন্দ্রীয় আইন পরিষদের সদস্যগণ সরকারের কোন বিষয়ে আলোচনার সুযোগ পেত?,Law,2,2,অর্থনৈতিক বিষয়ে,রাজনৈতিক বিষয়ে,জনস্বার্থ বিষয়ে,প্রশাসনিক বিষয়ে,A
স্থানীয় সরকার গণতান্ত্রিক শাসনব্যবস্থায় অপরিহার্য। এর কারণ কী?;,Law,2,2,জনগণের প্রত্যক্ষ অংশগ্রহণ,জনগণের চাহিদাপূরণ,জনগণের উন্নতি,জাতীয় সংসদ গঠন,A
পৃথিবীর অধিকাংশ দেশের আদালত কী রকম?,Law,2,2,সংকীর্ণ,স্তরায়িত,সীমাবদ্ধ;,এককেন্দ্রিক,B
সরকারি চাকরিতে কর্মরত নারীদের মাতৃত্বকালীন ছুটির গেজেট প্রকাশ করা হয় কবে?,Law,2,2,৯ জানুয়ারি ২০০১,৯ জানুয়ারি ২০১১,১১ জানুয়ারি ২০০১,১১ জানুয়ারি ২০১১,D
আইনকানুন কোন ধরনের কাঠামো?;,Law,2,2,মৌল,গৌণ;,সাধারণ;,উপরি,D
তথ্য অধিকার আইন কত সালে রাষ্ট্রপতির সম্মতি লাভ করে?,Law,2,2,2004,2007,2008,2009,D
তথ্য অধিকার আইনটি জাতীয় সংসদ কর্তৃক গৃহীত হয়ে রাষ্ট্রপতির সম্মতি লাভ করে কত তারিখে?,Law,2,2,২০ চৈত্র ১৪১৫,২২ চৈত্র ১৪১৬,২২ চৈত্র ১৪১৫,২৪ চৈত্র ১৪১৬,C
বিচারকদের আইনসভার মাধ্যমে নির্বাচিত হলে কী ঘটে?,Law,2,2,যোগ্যতা বড় হয়ে ধরা দেয়,নিরপেক্ষতা বজায় থাকে,রাজনৈতিক বিবেচনা বড় হয়ে থাকে,সাম্প্রদায়িকতার বিকাশ ঘটে,C
জাতীয় সংসদে কত খ্রিষ্টাব্দে বিশ্ববিদ্যালয় আইন পাস করা হয়?,Law,2,2,1972,1973,1974,1975,B
“সমাজের সকল ব্যক্তি আইনের দৃষ্টিতে সমান”-এখানে আইনের কোন বৈশিষ্ট্যটি প্রতিফলিত হয়েছে?;,Law,2,2,বিধিবদ্ধ নিয়ম,সর্বজনীন,ব্যক্তিস্বাধীনতার রক্ষক,রাষ্ট্রীয় অনুমোদন,B
বিচার বিভাগের স্বাধীনতা ও স্বাতন্ত্র্য রক্ষার জন্যে কার সচেতনতা ও সমর্থন থাকতে হবে?,Law,2,2,আইনজীবী,জনগণ,ব্যবসায়ী,মন্ত্রী,B
১৮৬১ সালের ভারতীয় কাউন্সিল আইনের মাধ্যমে ভারতে কোন ব্যবস্থার জন্ম হয়?,Law,2,2,প্রগতিশীল,প্রতিনিধিত্বশীল,স্বাধীনতাকামী,শাসনতান্ত্রিক,B
বেসরকারি আইনে কোনটি পরিলক্ষিত হয়?;,Law,2,2,ব্যক্তির সাথে ব্যক্তির সম্পর্ক,গোষ্ঠীর সাথে গোষ্ঠীর সম্পর্ক,রাষ্ট্রের সাথে রাষ্ট্রের সম্পর্ক,সমাজের সাথে সমাজের সম্পর্ক,A
কোন সংস্থার অনুমোদন ব্যতীত নির্বাচনি কর্মকর্তা ও কর্মচারীদের বিরুদ্ধে আদালতে মামলা করা যাবে না?,Law,2,2,আদালত,জাতীয় সংসদ,নির্বাচন কমিশন,সচিবালয়,C
হাসান ইউরিয়া সার এবং তরমুজের বীজ সংগ্রহ করতে ইউনিয়ন পরিষদে গিয়েছিল হাসান ইউনিয়ন পরিষদ থেকে কি ধরনের সেবা পাব,Law,3,3,জনশৃঙ্খলা রক্ষা,জনকল্যাণমূলক,প্রশাসনিক,স্থানীয় অর্থনৈতিক উন্নয়ন সম্পর্কিত,D
সাদেক বাংলাদেশের নিরাপত্তা ও আইনশৃঙ্খলা রক্ষাকারী বাহিনীতে চাকরি করে। সাদেক বাংলাদেশের কোন বিভাগের সদস্য?,Law,3,3,শাসন বিভাগ,আইন বিভাগ,বিচার বিভাগ,গণপূর্ত বিভাগ,A
"জনাব মিজান আগ্নেয়াস্ত্র, স্পিরিট ও বিষের লাইসেন্স প্রদান করেন। তিনি বাংলাদেশের সিভিল সার্ভিসের একজন অভিজ্ঞ কর্মকর্তা হিসেবে গুরুত্বপূর্ণ দায়িত্ব পালন করে থাকেন। জনাব মিজান বাংলাদেশের প্রশাসনিক কাঠামোর কোন স্তরে চাকরি করেন",Law,3,3,১ম,২য়,৩য়,৪র্থ,C
অপারেশন নবযাত্রা কি?,Law,3,3,মাদক দ্রব্য নিয়ন্ত্রণ অধিদপ্তর কর্তৃক পরিচালিত মাদক নির্মূল অভিযান,সুনামি সৃষ্ট ক্ষতিতে বাংলাদেশ কর্তৃক পরিচালিত শ্রীলংকা ও মালদ্বীপে সাহায্য অভিযান,ছবিসহ ভোটার তালিকা ও জাতীয় পরিচয়পত্র প্রণয়নের কর্মসূচী,বাংলাদেশ কোস্টগার্ড পরিচালিত অভিযান,C
’ক’ নামের এক নারী ভোটার জাতীয় সংসদ নির্বাচনের কিছুদিন আগে সড়ক দুর্ঘটনায় নিহত হয়।সোনিয়া ‘ক’ এর ভোট দিতে কেন্দ্রে গেলে ধরা পড়ে। সোনিয়ার কি শাস্তি হওয়া উচিত,Law,3,3,দুই থেকে দশ বছর পর্যন্ত সশ্রম কারাদণ্ড,যাবজ্জীবন কারাদন্ড,তার ভোটাধিকার বাতিল করা,তাকে দেশ থেকে বিতাড়িত করা,A
পুরাতন আইনে সংশোধনের প্রয়োজন হয় কেন?;,Law,3,3,যুগের চাহিদা পূরণে,নতুন আইনের প্রয়োজনে,জনগণের আকাক্সক্ষার কারণে,সরকারের আমূল পরিবর্তনে,A
শিশুশ্রম বিলোপ সাধনে কতকগুলো সুনির্দিষ্ট লক্ষ্য নির্ধারণ করা হয়েছে কোন আইনে?,Law,3,3,শ্রম আইন - ২০০৬,শিশু অধিকার সনদ - ২০১০,জাতীয় শিশুশ্রম নিরসন নীতি - ২০০৬,বাংলাদেশ শিশু আইন - ১৯৭৪,C
নির্বাচনি আচরণবিধি লঙ্ঘন সংক্রান্ত অপরাধের জন্য জরিমানাসহ ক্ষেত্রবিশেষে সর্বোচ্চ কত বছরের কারাদণ্ড হতে পারে?,Law,3,3,5,8,10,12,C
"জনাব মিজান আগ্নেয়াস্ত্র, স্পিরিট ও বিষের লাইসেন্স প্রদান করেন। তিনি বাংলাদেশের সিভিল সার্ভিসের একজন অভিজ্ঞ কর্মকর্তা হিসেবে গুরুত্বপূর্ণ দায়িত্ব পালন করে থাকেন। জনাব মিজান নিচের কোন দায়িত্ব পালনে ক্ষমতাপ্রাপ্ত-",Law,3,3,আইন তৈরি,প্রতিরোধমূলক বিচারকার্য,কর্মসংস্থান সৃষ্টি,এতিমখানা স্থাপন,B
সরকারি আইন হলো-; i. সাংবিধানিক আইন ii. প্রশাসনিক আইন iii. ফৌজদারি আইন ও দণ্ডবিধি নিচের কোনটি সঠিক?,Law,4,4,i ও ;ii,i ও ;iii,ii ও ;iii,"i, ii ও iii",D
অসিত পাল ধনী এবং বাদল গরিব। অপরাধ করার ফলে তাদের একই মেয়াদে শাস্তি হয়। আইনের কোন বৈশিষ্ট্যটি এখানে ফুটে উঠেছে?;,Law,4,4,বৈষম্য,বৈসাদৃশ্য,সর্বজনীনতা,বাহ্যিক আচরণ,C
নাসিমা জাহান বাংলাদেশের একটি জেলায় অতিরিক্ত জেলা প্রশাসক। তিনি তার দপ্তরের বিভিন্ন কার্যক্রম অত্যন্ত দক্ষতা ও আন্তরিকতার সাথে পরিচালনা করেন। নাসিমা জাহান বাংলাদেশ সরকারের কোন বিভাগে চাকরি করেন,Law,4,4,শাসন বিভাগ,বিচার বিভাগ,আইন বিভাগ,নির্বাচন কমিশন,A
‘A’ মন্ত্রীসভার সভার মূল মন্ত্র।সংবিধান অনুযায়ী তিনি তার শাসন পরিচালনার সংসদের কাছে দায়ী থাকেন। অনুচ্ছেদে ‘A’ বলতে কোন পদটিকে বোঝানো হয়েছে,Law,4,4,প্রধানমন্ত্রী,রাষ্ট্রপতি,স্পিকার,হুইপ,A
"আপিল বিভাগের কাজ হলো-  i. হাইকোর্টের রায়, ডিক্রি আদেশ ও দণ্ডাদেশ শুনানির জন্যে গ্রহণ করে ii. রাষ্ট্রপতি কোনো আইনের ব্যাখ্যা চাইলে দেওয়া iii. কোনো ব্যক্তিকে মৃত্যুদণ্ড দেওয়া নিচের কোনটি সঠিক?",Law,4,4,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",A
বিচার বিভাগের বিবিধ কার্যাবলীর অন্তর্ভুক্ত- i. লাইসেন্স প্রদান ii. অভিভাবকত্ব নিরূপণ iii. বিদেশি নাগরিকদের নাগরিকত্ব দান নিচের কোনটি সঠিক?,Law,4,4,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",C
’A’ মন্ত্রিসভার মূল মন্ত্র। সংবিধান অনুযায়ী তিনি তার শাসন পরিচালনার সংসদের কাছে দায়ী থাকেন। অনুচ্ছেদে ‘A’ বলতে কোন পদটিকে বোঝানো হয়েছে,Law,4,4,প্রধানমন্ত্রী,রাষ্ট্রপতি,স্পিকার,হুইপ,A
আদালত মানুষের আশ্রয়স্থল- i. ন্যায়বিচার লাভের জন্য ii. অধিকার প্রতিষ্ঠার জন্য iii. আত্মমর্যাদা প্রতিষ্ঠার জন্য নিচের কোনটি সঠিক?,Law,4,4,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",D
জনাব ফারদিন কন আমুক একটি প্রতিষ্ঠানে বসবাস করে এবং নাগরিক হিসেবে সেই প্রতিষ্ঠানে যাবতীয় দায়িত্ব ও কর্তব্য যথাযথভাবে পালন করে। জনাব ফারদিনের বসবাসরত প্রতিষ্ঠান কোনটি,Law,4,4,আইনসভা,তথ্য কমিশন,রাষ্ট্র,সরকার,C
অসীম বিহিত মুদ্রা- i. আইনগতভাবে যেকোনো পরিমাণ লেনদেন করা যায় ii. দেনা পাওনা পরিশোধ করলে পাওনাদার তা গ্রহণ করতে বাধ্য থাকে iii. একটি নির্দিষ্ট সীমা পর্যন্ত লেনদেন করা যায়,Law,4,4,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",A
বিচার বিভাগীয় পর্যালোচনা হল- i. বিচারক নিয়োগ দেয়া ; ii. আইনের বৈধতা বিচার iii. ন্যায় বিচার প্রতিষ্ঠা,Law,4,4,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",C
‘A’ মন্ত্রীসভার সভার মূল মন্ত্র।সংবিধান অনুযায়ী তিনি তার শাসন পরিচালনার সংসদের কাছে দায়ী থাকেন। উক্ত পদের কাজ সমূহ i. রাষ্ট্রীয় কাজের সমন্বয় সাধন ii. সরকারি বিলের পৃষ্ঠপোষকতা করেন iii. রাষ্ট্রদূত ও হাইকমিশনারদের নিয়োগ দান করেন,Law,5,5,"i,ii","ii,iii","i,iii","i,ii,iii",C
জনাব রফিক আহমেদ বাংলাদেশের একটি জেলা প্রশাসনের মধ্যমণি। তিনি তার দপ্তরের বিভিন্ন কার্যক্রম অত্যন্ত দক্ষতা ও আন্তরিকতার সাথে পরিচালনা করেন। উক্ত বিভাগ i. আইন শৃঙ্খলা রক্ষা করে ii.আইন প্রণয়ন করে iii.শাসন কার্য পরিচালনা করে,Law,5,5,"i,ii","i,iii","ii,iii","i,ii,iii",B
একটি ক্রিকেট ক্লাবের সদস্যবৃন্দ ১৫ জন প্রতিনিধি নির্বাচন করেন। নির্বাচিত ১৫ জন প্রতিনিধির ভোটে ক্লাবের সভাপতি ও সাধারণ সম্পাদক নির্বাচিত হয়। তাদের নেতৃত্বে ক্লাবের কার্যক্রম পরিচালিত হন। বাংলাদেশে এ ধরনের নির্বাচন দেখা যায় i. সিটি কর্পোরেশন নির্বাচনে ii. জেলা পরিষদ নির্বাচনে iii. রাষ্ট্রপতি নির্বাচনে,Law,5,5,"i,ii","i,iii","ii,iii","i,ii,iii",C
’A’ মন্ত্রিসভার মূল মন্ত্র। সংবিধান অনুযায়ী তিনি তার শাসন পরিচালনার সংসদের কাছে দায়ী থাকেন। উক্ত পদের কাজসমূহ I. রাষ্ট্রীয় কাজের সমন্বয় সাধন Ii. সরকারি বিল এর পৃষ্ঠপোষকতা করেন Iii রাষ্ট্রদূত ও হাই কমিশনারদের নিয়োগ দান করেন,Law,5,5,"I,ii.","ii,iii","i,iii","i,ii,iii",C
