Question,Category,Difficulty Fariha,Difficulty Arean,A,B,C,D,Answer
মানুষের ওপর কীসের প্রভাব অপরিসীম?,Law,1,2,আইনের,প্রথার,ধর্মের,রীতিনীতির,C
রুকনউদ্দিন বরবক শাহ-এর পিতার নাম কী?,History,3,3,শিহাবউদ্দিন মাহমুদ,নাসিরউদ্দিন মাহমুদ শাহ,মুজাফফর উদ্দিন মাহমুদ,কুতুবউদ্দিন মাহমুদ,B
রাষ্ট্রপতির বয়স কমপক্ষে কত বছর হতে হবে?;,Politics,3,1,30,35,40,45,B
বাংলাদেশে বর্ষাকালে গড় তাপমাত্রা কত?,Geography,3,1,২৫°সে,২৮°সে,২৬°সে,২৭°সে,D
কোনটি ব্রহ্মপুত্রের উপনদী?,Geography,3,1,ধলেশ্বরী,ধরলা,মহানন্দা,গোমতী,B
টেকসই উন্নয়নে মৌলিক বিবেচ্য বিষয় হিসেবে কোন বিষয়টি পরিগনিত হবে?,Economics,2,3,পরিবেশ সংরক্ষণ,দূর্যোগ প্রশমন,কৃষি উন্নয়ন,নিরক্ষরতা দূরীকরণ,A
আয় ও ভোগের পার্থক্যকে বলা হয়?,Economics,2,1,বিনিয়োগ,সুদ,সঞ্চয়,মূলধন,C
শহরের চাকুরীজীবিদের মধ্যে কোন ধরনের পরিবার দেখা যায়?,Social,2,2,পিতৃবাস,মাতৃবাস,যৌথ পরিবার,নয়াবাস পরিবার,D
কোন বৈশিষ্ট্যের অভাবে একজন দক্ষ ও মেধাবী ক্রিকেট খেলোয়াড়ের ‘প্রতিভা’ সম্পদ নয়?,Economics,1,3,হস্তান্তরযোগ্যতা,বাহ্যিকতা,অপ্রাচুর্যতা,উপযোগ,A
বাংলাদেশের বার্ষিক গড় বৃষ্টিপাতের পরিমাণ কত মিলিমিটার?,Geography,2,1,2100,2300,2200,2400,B
সরকারের কোন কর আদায়ে শুল্ক আয় বৃদ্ধির পাশাপাশি সামাজিক কলা সাধিত হয়?,Economics,2,2,আবগারি শুল্ক;,যানবাহন কর,মূল্য সংযোজন কর,মাদক শুল্ক,D
অর্থনৈতিক উন্নয়ন ঘটাতে বাণিজ্যের কোন পদক্ষেপটি গ্রহণীয়?,Economics,1,2,রপ্তানি বাণিজ্য বৃদ্ধি,আমদানি বাণিজ্য বৃদ্ধি,অভ্যন্তরীণ বাণিজ্য বৃদ্ধি,বাজার প্রতিষ্ঠা করা,A
আগা সিরাজী কে ছিলেন?,History,1,3,হাজী মুহম্মদ মহসীনের গৃহশিক্ষক,হাজী মুহম্মদ মহসীনের ভাই,হাজী মুহম্মদ মহসীনের চাচা,হাজী মুহম্মদ মহসীনের দাদা,A
কারা শুধু শাস্ত্রজ্ঞান চর্চা করতে পারতেন?;,History,2,3,অস্ট্রিক,ব্রাহ্মণ,ক্ষত্রিয়,শূদ্র,B
২০১৮ সালে বাংলাদেশে আঞ্চলিক মহাসড়কের পরিমাণ কত কিলোমিটার ছিল?,Geography,3,2,"৪,৩০০","৪,২৪৭","৪,২৬৮","৪,২২২",B
দিনেমাররা ইংরেজদের কাছে বাণিজ্য কুঠি বিক্রি করে কেন?,History,2,3,ব্যবসায় ব্যর্থ হয়েছিল,চুক্তির শর্ত পূরণের জন্য,রাজনৈতিক ব্যর্থতায়,সম্রাটের নির্দেশ পালনে,A
নয়ন এন্ড কোং বাংলাদেশে ব্যবসা করতে এসে সরকারকে কর দিতে অস্বীকৃতি জানায়। এরূপ ঔদ্ধত্য কোন যুদ্ধের কারণকে নির্দেশ করে?,History,3,3,পলাশীর যুদ্ধ,ইয়ারমুকের যুদ্ধ,উদয়নালার যুদ্ধ,বক্সারের যুদ্ধ,A
কীসের ভিত্তিতে কোনো দল ধর্মভিত্তিক আবার কোনো দল ধর্মনিরপেক্ষ হয়?;,Politics,1,3,নীতি,কর্মসূচি,আদর্শ,সম্পর্ক,C
বাংলার ক্ষুদ্র নৃগোষ্ঠীর সাথে মিশে যায় কোন জাতি?,History,1,2,গৌড়,আর্য,আলপাইন,বাঙালি,C
১৯৫৪ খ্রিষ্টাব্দের নির্বাচনের অন্যতম গুরুত্বপূর্ণ বিষয়গুলো হচ্ছে- i. ভবিষ্যতে বলিষ্ঠ নেতৃত্বের ইঙ্গিত ii. মুসলিম লীগের জনপ্রিয়তা iii. যুক্তফ্রন্টের জনপ্রিয়তা নিচের কোনটি সঠিক?,History,4,5,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",B
বর্তমানে গ্রাম ও শহরে পরিবারের মধ্যে আত্মকেন্দ্রিক মনোভাব বৃদ্ধির মূল কারণ কী?,Social,2,2,একক পরিবারের বৃদ্ধি,আর্থিক অবস্থর উন্নতি,নয়াবাস পরিবারের বৃদ্ধি,পিতৃতান্ত্রিক পরিবারের আধিক্য,C
সোহরাওয়ার্দীকে গ্রেফতার করা হয় কেন?,History,3,3,হত্যার অভিযোগে,দেশ বিরোধী ষড়যন্ত্রের অভিযোগে,অবৈধ হরতাল আহবানের অভিযোগে,জনগণকে নৈরাজ্য সৃষ্টিতে উসকানির অভিযোগে,B
ঈশ্বরচন্দ্র বিদ্যাসাগর কত খ্রিষ্টাব্দে জন্মগ্রহণ করেন?,History,3,1,1818,1819,1820,1821,C
কুশিয়ারা কোথায় কালনীর সাথে মিলিত হয়েছে?,Geography,4,1,চাঁদপুরে,দৌলতদিয়ায়,সুনামগঞ্জে,আজমিরিগঞ্জের কাছে,D
ফরায়েজি আন্দোলন দুর্বল হয়ে পড়ে- i. দুদু মিয়ার মৃত্যুর পর ii. যোগ্য নেতৃত্বের অভাব iii. ইংরেজদের কঠোর শাসনের ফলে নিচের কোনটি সঠিক?,History,4,4,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",D
বিদ্রোহের আগুন প্রথমে জ্বলে ওঠে কোথায়?,History,1,2,নাগপুরে,উদয়পুরে,ব্যারাকপুরে,কর্নাটে,C
বায়ুমণ্ডলের সবচেয়ে শীতলতম তাপমাত্রা ধারণ করার ক্ষেত্রে নিচের কোনটি অধিক যুক্তিযুক্ত?,Geography,1,3,এক্সোমণ্ডল,ট্রপোমণ্ডল,মেসোমণ্ডল,তাপমণ্ডল,C
বাংলাদেশের ২য় সর্বোচ্চ পর্বত শৃঙ্গের নাম কি?,Geography,1,1,মোদকমুয়াল,পিরামিড,কিওক্রাডাং,তাজিংডং,C
"একজন ধর্মসংস্কারক মক্কা থেকে বাংলা দেশে ফিরে এসে বুঝতে পারলেন যে, এদেশের মুসলমানরা ইসলামের প্রকৃত শিক্ষা থেকে অনেক দূরে সরে গেছে। এ সংস্কারক কে ছিলেন?;",History,3,3,আব্দুল ওহাব নজদি,তিতুমীর,হাজী শরিয়তউল্লাহ,ইসমাইল দেহলভী,C
তাপমাত্রার পার্থক্য অনুসারে সারাবছরকে যে কয়টি ভাগে ভাগ করা হয়েছে সেগুলোকে কী বলে?,Geography,4,1,বিষুব,ক্রান্তি,ঋতু,লগ্ন,C
মাওনাকেয়া আগ্নেয়গিরির বৈশিষ্ট্য হলো- i. এর অগ্ন্যুৎপাত এখনো বন্ধ হয়নি ii. এটি দীর্ঘকাল ধরে নিষ্ক্রিয় আছে iii. এর চারদিকে মহাসাগরের অথই পানি নিচের কোনটি সঠিক?,Geography,4,5,ii ও iii,i ও ii,i ও iii,"i, ii ও iii",C
ভূমিকম্প ঝুঁকির বিপজ্জনক বলয়ে রয়েছে বাংলাদেশের– i. ঢাকা ii. বগুড়া iii. দিনাজপুর নিচের কোনটি সঠিক?,Geography,4,4,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",D
কত খ্রিষ্টাব্দে অটোমান তুর্কিরা কন্সটান্টিনপোল দখল করে নেয়?,History,3,2,1450,1451,1452,1453,D
দেশে সংসদীয় পদ্ধতির সরকার ব্যবস্থা প্রবর্তন হয় কত তারিখে?,Politics,3,1,১৯৭০ ৯ জানুয়ারি,১৯৭১ ১০ জানুয়ারি,১৯৭২ ১১ জানুয়ারি,১৯৭৩ ১২ জানুয়ারি,C
‘ভবিষ্যৎ পুরাণের’ বর্ণনা অনুযায়ী গৌড় জনপদটির অবস্থান হলো-  i. পদ্মা নদীর দক্ষিণে ii. মেঘনা নদীর উত্তরে iii. বর্ধমানের উত্তরে নিচের কোনটি সঠিক?,History,4,5,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",B
এদেশের মোট শ্রমশক্তির কত শতাংশ লোক বেকার?,Economics,3,2,25,35,40,45,A
মন্ত্রণালয়ের প্রশাসনিক প্রধান কে?,Politics,1,1,উপমন্ত্রী,সচিব,মন্ত্রী,মহাপরিচালক,B
ভূমিকম্পের ফলে যেটি হয়- i. সুনামি ii. জলোচ্ছ্বাস iii. পস্নাবন নিচের কোনটি সঠিক?,Geography,4,4,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",A
বাংলাদেশের যেসব প্রাণীর অস্তিত্ব হুমকির তালিকায় রয়েছে- i. হাতি ও অজগর  ii. কুমির ও ঘড়িয়াল iii. রয়েল বেঙ্গল টাইগার ও চিতাবাঘ  নিচের কোনটি সঠিক?,Geography,4,4,i ও iii,i ও ii,ii ও iii,"i, ii ও iii",D
উৎপাদিত দ্রব্যের অবশ্যই কি থাকতে হবে?,Economics,2,1,বিনিময় মূল্য,আকার,উচ্চ মূল্য,কোনটিই নয়,A
সাংস্কৃতিক জীবনের বিভিন্ন বিষয়ের জ্ঞান শিশু-কিশোররা কোথা থেকে অর্জন করে?,Social,2,1,বিদ্যালয়,পরিবার;,সহপাঠী;,অন্তরঙ্গ বন্ধুদল,D
"বায়ুমণ্ডলের কোন স্তরে মেঘ,ঝড়,বৃষ্টিপাত সংঘটিত হয়?",Geography,2,2,তাপমণ্ডল,মেসোমণ্ডল,ট্রপোমণ্ডল,স্ট্রাটোমণ্ডল,C
পরিবার কী?,Social,1,1,আত্নীয়তার সম্পর্ক গড়া,মানুষের দলবদ্ধ জীবনযাপনের প্রতিষ্ঠান,সামাজিক দল,মনস্তাত্ত্বিক নিরাপত্তা,B
হেলাল মেক্সিকোর পারকোটিন আগ্নেয়গিরি দেখতে গেল। এটি কোন ধরনের আগ্নেয়গিরি?,Geography,3,3,শিল্ড,সুপ্ত,সক্রিয়,সিনডারকোন,D
কোন প্রতিষ্ঠানে নর-নারী সমাজস্বীকৃত জৈবিক চাহিদা পূরণ করে?,Social,2,1,নির্বাচিত;,প্রেক্ষাগৃহ;,হোটেল,পরিবার;,D
বেগম রোকেয়া রচিত গ্রন্থ-; i. মতিচূর ii. সুলতানার স্বপ্ন iii. পদ্মরাগ নিচের কোনটি সঠিক?,History,4,4,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",D
প্রান্তিক উপযোগ রেখার প্রকৃতি কোনটি?,Economics,1,1,ডান দিকে নিম্নগামী,বামদিকে উর্ধ্বগামী,ডান দিকে উর্ধ্বগামী,বাম দিকে নিম্নগামী,A
পাকবাহিনী কত হাজার গ্রামীণ হাটবাজার জ্বালিয়ে দেয়?,History,3,2,15,17,18,19,D
"মুক্তিযুদ্ধের চেতনা ও আদর্শ হচ্ছে-  i. একটি সত্যিকারের গণতান্ত্রিক রাষ্ট্র গঠন করা ii. ধর্ম যার যার, রাষ্ট্র হবে সবার iii. সর্বপ্রকার শোষণ ও বৈষম্য থেকে মুক্তিলাভ নিচের কোনটি সঠিক?",Politics,4,5,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",D
‘পূর্ব পাকিস্তান আওয়ামী মুসলিম লীগ’ দলটি- i. ১৯৪৯ সালে প্রতিষ্ঠিত ii. প্রথম সাধারণ সম্পাদক শামসুল হক iii. প্রথম সভাপতি শেখ মুজিবুর রহমান নিচের কোনটি সঠিক?,History,4,4,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",A
অর্থের মাধ্যমে লেনদেন সহজ ও গতিশীল হয় কীভাবে?,Economics,2,2,বেশি মুনাফা অর্জিত হওয়ায়,যেকোনো সময় যেকোনো পরিমাণ পণ্য ক্রয়-বিক্রয় সম্ভব হওয়ায়,পণ্যের মান বৃদ্ধি পাওয়া,অর্থের মূল্য বেশি হওয়ায়,B
২০১৮ সালের তথ্যমতে বাংলাদেশের সড়কপথের দৈর্ঘ্য কত?,Geography,3,2,"১৩,৬৭৮ কিলোমিটার","১৫,৯৪৮ কিলোমিটার","২১,৩০২ কিলোমিটার","২০,০৪০ কিলোমিটার",C
বাংলাদেশের প্রতি বছর কী ধরনের দ্রব্য আমদানি বাবদ প্রচুর অর্থ ব্যয় করে থাকে?,Economics,3,1,ভোগপণ্য ও মূলধনী,কৃষিকাজ,নিত্যপ্রয়োজনীয়,রাসায়নিক,A
রাজনৈতিক দলের প্রধান লক্ষ্য কী?;,Politics,1,1,বিপ্লবের মাধ্যমে সমাজ পরিবর্তন,নিয়মতান্ত্রিক উপায়ে সরকার গঠন,রাষ্ট্রীয় অর্থনীতিকে শক্তিশালীকরণ,ইতিহাস-ঐতিহ্য সংরক্ষণ,B
আমাদের দেশে কোন ব্যবস্থাটি এখনো সম্পূর্ণ আধুনিক হয়ে ওঠেনি?,Economics,2,1,পর্যটন খাত;,কৃষিখাত,শিল্পখাত;,যোগাযোগ খাত,B
উপকরণ সংগ্রহ থেকে শুরু করে বাজারে নিয়ে যাওয়া পর্যন্ত সব কাজের তদারকি করে কে?,Politics,2,1,সংগঠক,পরিষদ,সংস্থা,সরকার,A
বাংলাদেশে কতটি উপজেলায় নদীভাঙন হয়?,Geography,1,2,১৮০টি,১৮৮টি,১০০টি,১৫০টি,C
জাহিদের সাহিত্য ক্লাবটি বিভিন্ন সাংস্কৃতিক প্রতিযোগিতা আয়োজন করে থাকে। তার ক্লাবটি কিসের অন্তর্ভুক্ত?,Social,2,3,ধর্মীয় প্রতিষ্ঠান,সম্প্রদায়;,গনমাধ্যম,স্থানীয় গোষ্ঠী,D
প্রাচীন বাংলায় বেশি প্রচলন ছিল-; i. গান ii. নাচ iii. অভিনয় নিচের কোনটি সঠিক?,History,4,4,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",D
পরিবারের প্রয়োজন কেন?,Social,1,1,দলবদ্ধ জীবনযাপনের জন্য;,নিয়ম পালনের জন্য;,সাংস্কৃতিক নিরাপত্তার জন্য;,জীবন পরিচালনার জন্য;,A
ফয়সাল সমাজের একজন দায়িত্বশীল সদস্য। কোনটির মাধ্যমে তার এরূপ অবস্থান তৈরি হয়েছে?,Social,4,1,সামাজিকীকরণ;,উত্তরাধিকার সূত্রে;,শিক্ষার;,অর্থের,A
ফরাসিরা এদেশ ত্যাগ করতে বাধ্য হয় কেন?,History,2,2,ইংরেজদের কাছে পরাজিত হওয়ায়,আরবদের অসহযোগিতার কারণে,ধর্মীয় স্বার্থ বিঘ্নিত হওয়ায়,রাজনৈতিক স্বার্থ জড়িত থাকায়,A
পৃথিবীর বিভিন্ন দেশে গণতন্ত্র ব্যবস্থার প্রচলন দেখা যায় কোন সময়ে?,Politics,2,3,১৯ ও ২০ শতকে,১৮ ও ১৯ শতকে,১৭ ও ১৮ শতকে,১৬ ও ১৭ শতকে,A
সার্কের প্রাতিষ্ঠানিক কাঠামোর স্তরগুলো হলো-; i. সার্ক সচিবালয় ii. পররাষ্ট্রমন্ত্রীদের সম্মেলন iii. রাষ্ট্র ও সরকার প্রধানদের শীর্ষ সম্মেলন নিচের কোনটি সঠিক?,Politics,4,4,i ও ;ii,i ও ;iii,ii ও ;iii,"i, ii ও iii",D
পশুর নদীর - i. উৎপত্তি সিকিমের পার্বত্য অঞ্চলে ii. দৈর্ঘ্য ১৪২ কি.মি. iii. প্রস্থ ৪৩ মিটার থেকে ২.৫ কি.মি. নিচের কোনটি সঠিক?,Geography,4,5,i ও ii,ii ও iii,i ও iii,"i, ii ও iii",B
বাংলাদেশ এমডিজি অর্জনে অভূতপূর্ণ সাফল্য লাভ করেছে। এর প্রমাণ হলো- i. দারিদ্র্য কমেছে ii. মাথাপিছু আয় বেড়েছে  iii. অর্থনৈতিক প্রবৃদ্ধি ঘটেছে  নিচের কোনটি সঠিক?,Economics,4,4,i ও ii,"i, ii ও iii",i ও iii,ii ও iii,B
কোন গ্রহের ভূত্বক বরফে ঢাকা?,Geography,1,3,নেপচুন,ইউরেনাস,পৃথিবী,শনি,D
কীভাবে রাষ্ট্রের উন্নয়ন বাধাগ্রস্ত হয়?,Politics,1,2,ঘন ঘন সরকার পরিবর্তন ঘটলে,গণমাধ্যম পক্ষপাতিত্ব করলে,বিরোধী দলের কঠোর সমালোচনার প্রভাবে,চাপ সৃষ্টিকারী গ্রুপ কঠোর অবস্থান নিলে,A
"বাংলাদেশ সরকার জনগণ, বিভিন্ন ব্যবসায় ও শিল্প কারখানার ওপর যে কর ধার্য করে তা থেকে প্রাপ্ত আয়কে কী বলে?;",Economics,2,3,কর রাজস্ব,বাণিজ্য শুল্ক,আবগারি শুল্ক,ভ্যাট,A
আমাদের প্রতিবেশী পরিবারের নিরক্ষর শিশুর জন্য আমাদের কর্তব্য কী?;,Social,2,2,অর্থ দিয়ে সাহায্য করা,শিক্ষার সুযোগ করে দেওয়া,শিক্ষার সুফল সম্পর্কে জানানো,জোর করে স্কুলে পাঠানো,B
বাষ্পীভবনের মাধ্যমে পানি কোথায় মিশে যায়?,Geography,1,3,মাটিতে,বায়ুমণ্ডলে,মেঘে,সমুদ্রে,B
"বর্তমানে মানচিত্র তৈরি, পঠন ও ব্যবস্থাপনার সবচেয়ে আধুনিক ব্যবহার হচ্ছে কোনটি?",Geography,2,3,জিএমআই,জিআইপি,জিআইএস,জিএসপি,C
এসডিজি অর্জিত হলে কিসের ভারসাম্য সৃষ্টি হবে?,Economics,1,3,ভোগ ও ব্যয়,আয় ও ব্যয়,আয় ও ভোগ,আয় ও সঞ্চয়,C
অলিখিত সংবিধানের অন্যতম বৈশিষ্ট্য কোনটি?,Politics,1,1,যুক্তরাষ্ট্রীয় সরকারের উপযোগী,জরুরি প্রয়োজনে সহায়ক,সুস্পষ্টতা,দুষ্পরিবর্তনীয়,B
"শহরের পানীয় ও জল ব্যবস্থা, ময়লা আবর্জনা অপসারণের জন্য কোনটি গঠন করা হয়েছে?",Politics,2,1,জেলা পরিষদ,উপজেলা পরিষদ,সিটি কর্পোরেশন,ইউনিয়ন পরিষদ,C
ইয়াং বেঙ্গল আন্দোলনকারীদের অন্যতম উদ্দেশ্য ছিল কোনটি?;,History,3,2,ব্রিটিশদের ব্যবসায়ে সহায়তা,জাতীয়তা আন্দোলন,ভারতীয়দের স্বার্থরক্ষা,সম্মান অর্জন করা,C
আইন প্রণয়ন করে কে?,Law,3,1,মন্ত্রণালয়,সচিবালয়,প্রধানমন্ত্রী,রাষ্ট্র,D
বাঙালি তরুণ সমাজ ইংরেজ শাসনের ভিত কাঁপিয়ে তোলে- i. সশস্ত্র সংগ্রামের মাধ্যমে ii. দলে দলে আত্মাহুতি দিয়ে iii. জয়বাংলা স্লোগান দিয়ে নিচের কোনটি সঠিক?,History,4,4,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",A
‘এক দেশের এক নেতা’- এটি কোন রাষ্ট্রীয় ব্যবস্থার আদর্শ?,Politics,2,2,গণতান্ত্রিক,সমাজতান্ত্রিক,নিয়মতান্ত্রিক রাজতন্ত্র,একনায়কতান্ত্রিক,D
মানবসৃষ্ট জাতীয় সম্পদ হলো- i. প্রাকৃতিক জলাশয় ii. জলাশয়ে মাছ চাষ iii. ভূমি আবাদ নিচের কোনটি সঠিক?,Economics,4,5,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",C
উত্তর সুদান ও দক্ষিণ সুদানের মধ্যে সীমানা সংক্রান্ত সমস্যা রয়েছে। সমস্যা নিরসন করবে জাতিসংঘের কোন সংস্থা?;,Politics,3,2,আন্তর্জাতিক বিচারালয়,নিরাপত্তা পরিষদ,সাধারণ পরিষদ,সেক্রেটারিয়েট বা প্রশাসনিক বিভাগ,A
সরকারি ব্যয় ব্যবস্থাপনায় কোনটি গুরুত্বপূর্ণ বিষয়?,Economics,2,3,অনুৎপাদনশীল খাত,উৎপাদনশীল খাত,প্রতিরক্ষা খাত,শিক্ষা খাত,B
নবজাগরণের প্রভাবে বাঙালি বুদ্ধিজীবীরা কোন চিন্তা-চেতনা প্রত্যাখ্যান করেন?,History,2,2,মধ্যযুগীয়,ধর্মীয়,রাজনৈতিক,বৈজ্ঞানিক,A
উন্নত দেশসমূহ শতকরা কত ভাগের উপরে মানুষ ২য় ও ৩য় পর্যায়ের কর্মকাণ্ডের সাথে জড়িত?,Economics,3,2,70,50,80,60,C
কোনটি একটি সভ্য সমাজের মানদণ্ড?,Law,1,1,আইনের শাসন,নাগরিকের অধিকার প্রদান,সামাজিক সাম্য,স্থিতিশীল রাষ্ট্র,A
পাকিস্তানকে গোলাবারুদ সরবরাহ না করতে বিভিন্ন সরকারের কাছে আবেদন করেছে কারা?,History,3,3,জনসাধারণ,গণমাধ্যম,প্রবাসী বাঙালি,পেশাজীবী,C
নিচের কোনটি শ্রমের প্রাপ্ত আয়?,Economics,3,1,মজুরি ,দাম,খাজনা,মুনাফা,A
প্রত্নতাত্ত্বিক উপাদানের মাধ্যমে জানা যায়- i. বিভিন্ন জাতির অগ্রগতির ইতিহাস ii. বিভিন্ন মানুষের ইতিহাস iii. বিভিন্ন সমাজের ইতিহাস নিচের কোনটি সঠিক?,History,4,4,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",D
বাংলাদেশ একটি কৃষিপ্রধান দেশ। এদেশের জনগণের আয় ও সঞ্চয় তুলনামূলকভাবে অত্যন্ত কম। এর কারণ কী?,Economics,1,1,দারিদ্র দেশ,কৃষিভিত্তিক শিল্প,জনবহুল দেশ,কৃষির ওপর নির্ভরশীলতা,A
বাংলাদেশ সরকারের অর্থমন্ত্রী ২০১৪-১৫ অর্থবছরের বাজেট প্রণয়ন করেছেন। বাজেটটি অনুমোদনের জন্য কোথায় উত্থাপন করতে হবে?,Economics,3,2,বিচারবিভাগে,সুপ্রিমকোর্টে,অর্থ মন্ত্রণালয়ে,জাতীয় সংসদে,D
পর্তুগিজ → ওলন্দাজ → দিনেমার → ইংরেজ → (?)। (?) চিহ্নিত স্থানে কোনটি বসবে?;,History,3,3,ফরাসি,আরবির,চীনা,জাপানি,A
বিশ্বের কোনো কোনো অঞ্চলে জনসখ্যার বৃদ্ধি প্রয়োজন। এর কারণ কী?,Economics,2,2,সামরিক কর্মকাণ্ড পরিচালনা,বাণিজ্যিক কর্মকাণ্ড পরিচালনা,উৎপাদন কর্মকাণ্ড পরিচালনা,রাজনৈতিক কর্মকাণ্ড পরিচালনা,C
ইয়াং বেঙ্গল মুভমেন্টের সাথে কোন নামটি জড়িত?,History,3,3,ডিরোজিও,দুদু মিয়া,রামমোহন রায়,সৈয়দ আহমদ,A
পরিবেশের ভারসাম্য নষ্টের ফলে কোন দুর্যোগের প্রবণতা বৃদ্ধি পাচ্ছে?,Geography,1,3,ভূমিকম্প,ঘূর্ণিঝড় ও জলোচ্ছ্বাস,টর্নেডো,কালবৈশাখী,B
ভারতবর্ষকে ‘দারুল হারব’ ঘোষণা করেন কে?,History,1,3,হাজী শরীয়তউল্লাহ,তিতুমীর,রামমোহন রায়,দুদু মিয়া,A
নিচের কোনটি বাংলাদেশের জলবায়ুর বৈশিষ্ট্য?,Geography,2,1,সমভাবাপন্ন,মেরুদেশীয়,চরমভাবাপন্ন,মরুদেশীয়,A
সরকারি যাবতীয় সিদ্ধান্ত সর্বপ্রথম কোথায় গৃহীত হয়?,Politics,3,1,সংসদে,মন্ত্রণালয়ে,মন্ত্রিসভায়,সচিবালয়ে,D
১৯৭০ সালের নির্বাচনের গুরুত্ব হলো- i. ৬ দফার প্রতি জনগণের সমর্থনের বিষয়টি স্পষ্ট হয় ii. বাঙালি জাতীয়তাবাদের রাজনৈতিক বিজয় ঘটে iii.পশ্চিম পাকিস্তানের কর্তৃত্বের বিরুদ্ধে এদেশের জনগণের অবস্থান নিচের কোনটি সঠিক?,History,4,4,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",D
জনগণের মধ্যে রাজনৈতিক সচেতনতার সৃষ্টি হয় কোন শাসনব্যবস্থায়?,Politics,2,1,সমাজতন্ত্র,রাজতন্ত্র,স্বৈরতন্ত্র,গণতন্ত্র,D
প্রতিনিধি নির্বাচনের মাধ্যমে শাসনকার্য পরিচালনা করা হয় কোন শাসনব্যবস্থায়?,Politics,2,2,প্রত্যক্ষ গণতন্ত্রে,স্বৈরতন্ত্রে,রাজতন্ত্রে,পরোক্ষ গণতন্ত্রে,D
বাণিজ্যিক ব্যাংক গ্রাহকদের ঋণ প্রদান করে কেন?,Economics,1,2,মুনফা অর্জনের জন্য,গ্রাহকদের চাহিদা পূরণের জন্য,দেশের অর্থনৈতিক উন্নয়নের জন্য,ব্যাংকের গ্রহণযোগ্যতা বৃদ্ধির জন্য,A
পূর্ব পাকিস্তানের প্রাদেশিক পরিষদের আসন সংখ্যা কতটি ছিল?,History,2,1,৩১৫ টি,৩২১ টি,৩০৭ টি,৩১০ টি,D
অর্থনৈতিক উন্নয়নের কেন্দ্রবিন্দু কোনটি?,Economics,1,1,উদ্যোক্তা,শ্রম,মূলধন,ভূমি,A
সমাজে একটি শ্রেণি বিপুল সম্পদের অধিকারী হয়ে উঠেছে। এর ফলে- i. পরিবেশ ক্ষতিগ্রস্ত হচ্ছে ii. সমাজ ভারসাম্যহীন হচ্ছে iii. অর্থনৈতিক কর্মকাণ্ড বৃদ্ধি পাচ্ছে নিচের কোনটি সঠিক?,Economics,4,5,i ও iii,i ও ii,ii ও iii,"i, ii ও iii",B
বঙ্গবন্ধু শেখ মুজিবুর রহমান আওয়ামী লীগের সাধারণ সম্পাদক মনোনীত হলেন কত খ্রিষ্টাব্দে?,History,3,1,1962,1964,1966,1968,B
ইতিহাসচর্চা ও ইতিহাস রচনা নিয়ে মতবিরোধ বিরাজ করে কেন?,History,3,3,ঐতিহাসিক উপাদানের পর্যাপ্ততার কারণে,ঐতিহাসিক উপাদানের অপর্যাপ্ততার কারণে,ঐতিহাসিক দৃষ্টিভঙ্গির কারণে,সামাজিক স্থিতিশীলতার কারণে,B
পিনটুবো কী?,Geography,3,3,নদী,কয়লা,পাহাড়,হ্রদ,C
আনোয়ার সাহেব অনেক দর কষাকষি করে একটি শার্ট কিনলেন। তার এই দর কষাকষিকে কী বলা যায়?,Economics,2,2,বাজার,দামের নিয়ম,বাজারের ধরন,ক্রেতার স্বাধীনতা,B
বাংলাদেশের কয়টি নদীর উৎসস্থল ভারতে অবস্থিত?,Geography,2,1,1957,54,56,53,B
শিক্ষা আন্দোলন কত খ্রিষ্টাব্দে সংঘটিত হয়?,History,3,1,1960,1961,1962,1963,C
যৌন হয়রানি - i. একটি সামাজিক বিপর্যয় ii. ভয়াবহ সহিংসতা iii. নৈতিকতার চরম অবক্ষয় নিচের কোনটি সঠিক?,Social,4,5,i ও ii,ii ও iii,i ও iii,"i, ii ও iii",D
পরিবার একটি বিশ্বজনীন প্রতিষ্ঠান।' বাক্যটি দ্বারা কী বুঝানো হয়েছে?,Social,2,2,পরিবার হতে সমাজের সৃষ্টি হয়েছে,পরিবারের মাধ্যমে বিশ্ব সৃষ্টি হয়েছে,পরিবার হতে গোষ্ঠীর সৃষ্টি হয়েছে,বিশ্বের সকল সমাজেই পরিবার স্বীকৃত,D
যুক্তফ্রন্টের ঘোষিত বিষয়- i. পূর্ববাংলার স্বায়ত্তশাসন ii. ২১শে ফেব্রুয়ারি সরকারি ছুটি iii. বাংলাকে অন্যতম রাষ্ট্রভাষা হিসেবে গ্রহণ নিচের কোনটি সঠিক?,History,4,4,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",C
